,	    4,	   8,     12,    16,    24,	   32,	  48,	   64,    128
0,    958,   1571,  1919,  2152,  2278,  2348,  2379,  2385,  2290
4,    977,   1594,  1968,  2093,  2269,  2361,  2371,  2399,  2331
8,    1003,  1614,  1975,  2185,  2323,  2353,  2332,  2404,  2297
12,   1022,  1621,  1924,  2193,  2344,  2348,  2393,  2356,  2406
16,   1035,  1625,  1959,  2200,  2305,  2369,  2395,  2414,  2356
20,   1043,  1634,  1934,  2184,  2289,  2357,  2387,  2257,  2400
32,   1030,  1553,  1904,  2122,  2288,  2266,  2260,  2264,  2194
48,   967,   1473,  1859,  2054,  2186,  2164,  2157,  2146,  2086
64,   906,   1369,  1745,  1979,  2117,  2084,  2057,  2013,  1928
96,   820,   1274,  1639,  1861,  1970,  1798,  1621,  1616,  1594
128,  664,   659,   793,   815,   845,   836,   876,   897,   985
